GEOID,county_name,year,median_income,median_rent,median_home_value,poverty_population,total_population,renter_total,rent30_34,rent35_39,rent40_49,rent50_plus,poverty_rate,rent_to_income_ratio,rent_burden_rate,income_score,rent_score,poverty_score,burden_score,ratio_score,housing_stress_index
41019,Douglas,2020,50031,870,210800,14124,108560,13895,1031,818,1381,2622,0.13010316875460576,0.20867062421298796,0.4211586901763224,0.8176475892749789,0.19733333333333333,0.47255299882206303,0.6411096632513954,0.50404865034384,0.5265384470051221
41031,Jefferson,2020,55844,819,242200,3257,22726,2664,157,116,101,695,0.14331602569743906,0.1759902585774658,0.40127627627627627,0.7302813514488398,0.152,0.5519050348730183,0.5928803660659698,0.25885935894759493,0.4571852222670846
41055,Sherman,2020,51472,843,159300,168,1682,225,4,8,8,34,0.09988109393579073,0.19653403792353125,0.24,0.7959901406757244,0.17333333333333334,0.29104924222095496,0.20166823777055778,0.4129921112136061,0.37500661304283534
41045,Malheur,2020,44362,692,150400,5660,26829,4072,235,280,276,638,0.21096574602109658,0.18718723231594608,0.35093320235756387,0.9028495851869665,0.03911111111111111,0.9581868155042397,0.47076184034471447,0.3428663155202055,0.5427551335334474
41005,Clackamas,2020,82911,1356,421100,30811,411932,46315,3734,3074,4233,11400,0.07479632560713904,0.19625863878134386,0.484529849940624,0.3234790188769989,0.6293333333333333,0.14039844433846546,0.7948307613344855,0.4109258882931789,0.45979348923529234
41051,Multnomah,2020,71425,1309,410800,104861,795408,152777,13467,9650,13590,38607,0.13183297125500373,0.21992299614980748,0.4929668732859004,0.49610737044607434,0.5875555555555556,0.4829416188583274,0.8152966719792067,0.588471240117955,0.5940744913914239
41035,Klamath,2020,48560,781,188700,13049,66516,10165,797,365,998,2723,0.19617836310060738,0.192998352553542,0.4803738317757009,0.8397559216063484,0.11822222222222223,0.8693786987068804,0.7847493981664229,0.3864651071973035,0.5997142695798355
41027,Hood River,2020,72418,1138,411600,1187,23085,2806,265,52,197,400,0.051418670132120425,0.18857190201331162,0.3257305773342837,0.48118311891306964,0.43555555555555553,0,0.4096271663453062,0.35325500534397786,0.33592416923158186
41009,Columbia,2020,68170,985,282600,5135,51598,4836,497,411,779,854,0.099519361215551,0.1733900542760745,0.5254342431761787,0.5450282553805459,0.2995555555555556,0.28887679549111717,0.8940536297178111,0.23935094042945515,0.453373035314897
41053,Polk,2020,65665,1043,290100,9972,82639,10629,940,487,697,2679,0.1206694175873377,0.1906038224320414,0.4518769404459498,0.5826770470121438,0.3511111111111111,0.4158970185174528,0.7156237352709253,0.36849978972608377,0.4867617403275434
41029,Jackson,2020,56327,1057,294500,29652,216413,32047,3157,2021,2791,8244,0.13701579849639348,0.22518507997940596,0.5059131900021843,0.7230221233617891,0.3635555555555556,0.5140679601094301,0.8467008948017107,0.6279508046930983,0.6150594677043167
41013,Crook,2020,59000,913,265100,2421,23620,2652,340,221,237,404,0.10249788314987299,0.18569491525423729,0.45324283559577677,0.6828483828303475,0.23555555555555555,0.306764810243224,0.7189370232567962,0.3316699853756863,0.45515515145232194
41011,Coos,2020,49445,845,220400,10184,63115,8810,873,528,747,1544,0.16135625445615148,0.20507634745677014,0.4190692395005675,0.8264548515089576,0.1751111111111111,0.6602486647951823,0.6360412274919408,0.4770820557601757,0.5549875821334735
41025,Harney,2020,43387,705,140300,614,7117,893,73,63,45,101,0.08627230574680343,0.19498928250397585,0.3157894736842105,0.9175033064807022,0.050666666666666665,0.20931937443728335,0.38551276833001363,0.40140235450997835,0.3928808940849288
